path	deprecated	experimental	chrome	chrome_android
css.selectors.hover.pseudo_elements	false	false	1	18
css.selectors.id	false	false	1	18
css.selectors.in-range	false	false	10	18
css.selectors.indeterminate	false	false	1	18
css.selectors.indeterminate.checkbox	false	false	1	18
css.selectors.indeterminate.progress	false	false	6	18
css.selectors.indeterminate.radio	false	false	39	39
css.selectors.invalid	false	false	10	18
css.selectors.invalid.form	false	false	40	40
css.selectors.is	false	false	88	88
css.selectors.is.forgiving_selector_list	false	false	88	88
css.selectors.lang	false	false	1	18
css.selectors.lang.argument_list	false	false	false	false
css.selectors.lang.wildcards	false	false	false	false
css.selectors.last-child	false	false	1	18
css.selectors.last-child.no_parent_required	false	false	57	57
css.selectors.last-of-type	false	false	1	18
css.selectors.left	false	false	6	18
css.selectors.link	false	false	1	18
css.selectors.link.not_match_link	false	false	1	18
css.selectors.list	false	false	1	18
css.selectors.marker	false	false	86	86
css.selectors.marker.animation_and_transition_support	false	false	86	86
css.selectors.modal	false	false	105	105
css.selectors.muted	false	false	false	false
css.selectors.namespace	false	false	1	18
css.selectors.nesting	false	false	112	112
css.selectors.not	false	false	1	18
css.selectors.not.selector_list	false	false	88	88
css.selectors.nth-child	false	false	1	18
css.selectors.nth-child.no_parent_required	false	false	57	57
css.selectors.nth-child.of_syntax	false	false	111	111
css.selectors.nth-last-child	false	false	4	18
css.selectors.nth-last-child.no_parent_required	false	false	57	57
css.selectors.nth-last-child.of_syntax	false	false	false	false
css.selectors.nth-last-of-type	false	false	4	18
css.selectors.nth-of-type	false	false	1	18
css.selectors.only-child	false	false	2	18
css.selectors.only-child.no_parent_required	false	false	57	57
css.selectors.only-of-type	false	false	1	18
css.selectors.optional	false	false	10	18
css.selectors.out-of-range	false	false	10	18
css.selectors.part	false	false	73	73
css.selectors.past	false	true	false	false
css.selectors.paused	false	false	false	false
css.selectors.picture-in-picture	false	false	110	110
css.selectors.placeholder	false	false	57	57
css.selectors.placeholder-shown	false	false	47	47
css.selectors.placeholder-shown.non_text_types	false	false	47	47
css.selectors.playing	false	false	false	false
css.selectors.popover-open	false	true	114	114
css.selectors.read-only	false	false	1	18
css.selectors.read-write	false	false	1	18
css.selectors.required	false	false	10	18
css.selectors.right	false	false	6	18
css.selectors.root	false	false	1	18
css.selectors.scope	false	false	27	27
css.selectors.scope.dom_api	false	false	27	27
css.selectors.seeking	false	false	false	false
css.selectors.selection	false	false	1	18
css.selectors.slotted	false	false	50	50
css.selectors.spelling-error	false	true	false	false
css.selectors.stalled	false	false	false	false
css.selectors.target	false	false	1	18
css.selectors.target-text	false	true	89	89
css.selectors.target-within	false	true	false	false
css.selectors.type	false	false	1	18
css.selectors.type.namespaces	false	false	1	18
css.selectors.universal	false	false	1	18
css.selectors.universal.namespaces	false	false	1	18
css.selectors.user-invalid	false	false	false	false
css.selectors.user-valid	false	false	false	false
css.selectors.valid	false	false	10	18
css.selectors.valid.form	false	false	40	40
css.selectors.view-transition	false	true	111	111
css.selectors.view-transition-group	false	true	111	111
css.selectors.view-transition-image-pair	false	true	111	111
css.selectors.view-transition-new	false	true	111	111
css.selectors.view-transition-old	false	true	111	111
css.selectors.visited	false	false	1	18
css.selectors.visited.not_match_link	false	false	1	18
css.selectors.visited.privacy_measures	false	false	6	18
css.selectors.volume-locked	false	false	false	false
css.selectors.where	false	false	88	88
css.selectors.where.forgiving_selector_list	false	false	88	88
css.types.-moz-image-rect	false	true	false	false
css.types.abs	false	true	false	false
css.types.acos	false	false	111	111
css.types.angle	false	false	2	18
css.types.angle.deg	false	false	2	18
css.types.angle.grad	false	false	2	18
css.types.angle.rad	false	false	2	18
css.types.angle.turn	false	false	2	18
css.types.angle-percentage	false	false	2	18
css.types.asin	false	false	111	111
css.types.atan	false	false	111	111
css.types.atan2	false	false	111	111
css.types.attr	false	false	2	18
css.types.attr.fallback	false	true	false	false
css.types.attr.type-or-unit	false	true	false	false
css.types.attr.type-or-unit.angle	false	true	false	false
css.types.attr.type-or-unit.color	false	true	false	false
css.types.attr.type-or-unit.frequency	false	true	false	false
css.types.attr.type-or-unit.integer	false	true	false	false
css.types.attr.type-or-unit.length	false	true	false	false
css.types.attr.type-or-unit.number	false	true	false	false
css.types.attr.type-or-unit.percentage	false	true	false	false
css.types.attr.type-or-unit.time	false	true	false	false
css.types.attr.type-or-unit.url	false	true	false	false
css.types.basic-shape	false	false	37	37
css.types.basic-shape.animation	false	false	37	37
css.types.basic-shape.circle	false	false	37	37
css.types.basic-shape.ellipse	false	false	37	37
css.types.basic-shape.inset	false	false	37	37
css.types.basic-shape.path	false	false	46	46
css.types.basic-shape.polygon	false	false	37	37
css.types.blend-mode	false	false	35	59
css.types.calc	false	false	26	28
css.types.calc.gradient_color_stops	false	false	19	28
css.types.calc.nested	false	false	51	51
css.types.calc.number_values	false	false	31	31
css.types.calc-constant	false	false	99	99
css.types.calc-constant.NaN	false	false	99	99
css.types.calc-constant.e	false	false	false	false
css.types.calc-constant.infinity	false	false	99	99
css.types.calc-constant.pi	false	false	false	false
css.types.clamp	false	false	79	79
css.types.color	false	false	1	18
css.types.color.color	false	false	111	111
css.types.color.color-contrast	false	true	false	false
css.types.color.color-mix	false	false	111	111
css.types.color.currentcolor	false	false	1	18
css.types.color.hsl	false	false	1	18
css.types.color.hsl.alpha_parameter	false	false	65	65
css.types.color.hsl.space_separated_parameters	false	false	65	65
css.types.color.hsla	false	false	1	18
css.types.color.hsla.space_separated_parameters	false	false	65	65
css.types.color.hwb	false	false	101	101
css.types.color.lab	false	false	111	111
css.types.color.lch	false	false	111	111
css.types.color.named-color	false	false	1	18
css.types.color.named-color.rebeccapurple	false	false	38	38
css.types.color.oklab	false	false	111	111
css.types.color.oklch	false	false	111	111
css.types.color.rgb	false	false	1	18
css.types.color.rgb.alpha_parameter	false	false	65	65
css.types.color.rgb.float_values	false	false	66	66
css.types.color.rgb.space_separated_parameters	false	false	65	65
css.types.color.rgb_hexadecimal_notation	false	false	1	18
css.types.color.rgb_hexadecimal_notation.alpha_hexadecimal_notation	false	false	62	62
css.types.color.rgba	false	false	1	18
